iter	Logloss
0	0.689650239
1	0.6879121565
2	0.6874913035
3	0.6868798347
4	0.6856529855
5	0.6846804869
6	0.6842467665
7	0.6835681919
8	0.6826897954
9	0.6823463454
10	0.682109409
11	0.6816813382
12	0.6810230051
13	0.6802532884
14	0.6776143234
15	0.6752701565
16	0.6747575844
17	0.6744489951
18	0.6737836195
19	0.6731721208
20	0.6719622368
21	0.6706944575
22	0.6690434305
23	0.6677032411
24	0.6663999906
25	0.6653883769
26	0.6623759603
27	0.6618089832
28	0.6608031313
29	0.6599069579
30	0.6576080552
31	0.6566963343
32	0.6546049726
33	0.6539925039
34	0.6536761412
35	0.6532291777
36	0.6528542266
37	0.6516427782
38	0.651000048
39	0.6495613209
40	0.6486419554
41	0.6471695742
42	0.6451182175
43	0.6444544123
44	0.6441007711
45	0.6435258423
46	0.6414953307
47	0.6410928677
48	0.6404092277
49	0.6399790759
50	0.6394890344
51	0.6381271856
52	0.6361827881
53	0.6347503044
54	0.6344049976
55	0.6338909379
56	0.6327793457
57	0.6318592638
58	0.6311557712
59	0.6300449906
60	0.6277192427
61	0.6271979047
62	0.6260386687
63	0.625672602
64	0.624214789
65	0.6237708712
66	0.6233033309
67	0.6223662245
68	0.6217421452
69	0.6210950886
70	0.6204522865
71	0.6184999958
72	0.6175244836
73	0.6167652463
74	0.6163152898
75	0.6159484496
76	0.6150562338
77	0.6125978734
78	0.6109482753
79	0.6093531586
80	0.6084213645
81	0.6079122495
82	0.6074581028
83	0.6063192603
84	0.6060126009
85	0.6056729368
86	0.6050058645
87	0.6041921367
88	0.6037525502
89	0.6031371575
90	0.6021222071
91	0.6018777317
92	0.6004293265
93	0.5997260351
94	0.5990838776
95	0.5984744027
96	0.5977318025
97	0.5971413989
98	0.5962383855
99	0.5954480895
100	0.5950364188
101	0.5941568651
102	0.5931137
103	0.5925674387
104	0.5920571146
105	0.5915483286
106	0.5912220715
107	0.5909045132
108	0.5904950157
109	0.5902570899
110	0.5896096542
111	0.5889505502
112	0.588539181
113	0.587729441
114	0.587258748
115	0.5868698437
116	0.5858232347
117	0.5832633469
118	0.5830220517
119	0.5827046959
120	0.5823482579
121	0.5819326006
122	0.5816077666
123	0.5810540517
124	0.5801362915
125	0.5797428702
126	0.5795145498
127	0.5788471034
128	0.5779621622
129	0.5755589543
130	0.5730471083
131	0.5726202431
132	0.5723342405
133	0.5716326666
134	0.5709826975
135	0.5703374437
136	0.5697958416
137	0.5694451428
138	0.568979198
139	0.5684378376
140	0.5677226085
141	0.566741977
142	0.5657843881
143	0.5656600706
144	0.5649999672
145	0.5643083694
146	0.5634251421
147	0.5630297291
148	0.5622986893
149	0.5609573048
150	0.5601191268
151	0.5598346992
152	0.559615232
153	0.5587952406
154	0.5585871508
155	0.5578490556
156	0.5575001155
157	0.5571117845
158	0.5538372564
159	0.5535529602
160	0.552123151
161	0.5503389212
162	0.5497926451
163	0.5495736138
164	0.5489850957
165	0.5485212263
166	0.548097335
167	0.5478423141
168	0.5471518486
169	0.5468492561
170	0.5465287569
171	0.5453980094
172	0.5449789677
173	0.5446882143
174	0.5443535578
175	0.5440046164
176	0.5436400696
177	0.5428643498
178	0.5426054228
179	0.5423280429
180	0.5411355382
181	0.5409064916
182	0.5405976607
183	0.5402130542
184	0.5394665707
185	0.5392221732
186	0.5389434196
187	0.538685795
188	0.5379507845
189	0.5370912967
190	0.5353076877
191	0.5349883461
192	0.5345061015
193	0.5332673291
194	0.5325462165
195	0.5321351231
196	0.5318941339
197	0.5312861814
198	0.5307131414
199	0.5303460534
200	0.529510536
201	0.529059252
202	0.5288170228
203	0.5283925111
204	0.527924129
205	0.5271454251
206	0.5266931719
207	0.526055804
208	0.5258115518
209	0.5253292426
210	0.5250598291
211	0.5242526493
212	0.5238674288
213	0.523423806
214	0.5231276178
215	0.5221773001
216	0.5216540081
217	0.5214788452
218	0.521037225
219	0.5208017036
220	0.5203721521
221	0.5198122835
222	0.5193680511
223	0.5189913553
224	0.518719893
225	0.5186329429
226	0.5179726349
227	0.5176814935
228	0.5172649418
229	0.5167204959
230	0.5159362488
231	0.5153248043
232	0.5146745225
233	0.5141653534
234	0.5138227027
235	0.5130095096
236	0.5124814546
237	0.5121545163
238	0.5119644118
239	0.511720281
240	0.5112016502
241	0.5108836288
242	0.5102725102
243	0.5096367962
244	0.5092059699
245	0.5065156686
246	0.5052000483
247	0.504406073
248	0.5039745346
249	0.5031395622
250	0.5026945273
251	0.502312814
252	0.5019138638
253	0.501132322
254	0.5007314719
255	0.4999889257
256	0.4986362664
257	0.4983654902
258	0.4978657342
259	0.4976088652
260	0.4958216184
261	0.4955694885
262	0.4954268392
263	0.4949059146
264	0.4945228526
265	0.4940645657
266	0.4939014017
267	0.4933537468
268	0.4928894669
269	0.4925815017
270	0.4923100656
271	0.4919201828
272	0.4913673745
273	0.4908359987
274	0.4902386248
275	0.4897506859
276	0.4895433067
277	0.4894277156
278	0.4891354756
279	0.4885994661
280	0.4882205238
281	0.4878356678
282	0.4876215927
283	0.4871325894
284	0.4852684803
285	0.4848331222
286	0.4846060661
287	0.4841609085
288	0.4839781543
289	0.4837921797
290	0.4836326284
291	0.483222229
292	0.4829215599
293	0.4823165933
294	0.4819148068
295	0.4817195076
296	0.4812228928
297	0.4810284689
298	0.480730994
299	0.4804330272
300	0.4799071129
301	0.4787381289
302	0.478593014
303	0.4777591256
304	0.4773388693
305	0.4765372309
306	0.4763448088
307	0.4759813762
308	0.475742486
309	0.4753975097
310	0.4749311181
311	0.474704514
312	0.4746781322
313	0.4743293525
314	0.4738402846
315	0.4735521414
316	0.4733364968
317	0.4724755344
318	0.4720340749
319	0.4716614019
320	0.4708157072
321	0.4705910789
322	0.4689267672
323	0.468321011
324	0.4672238495
325	0.4670239483
326	0.4667958088
327	0.4667952932
328	0.4667060477
329	0.4663173386
330	0.4657365763
331	0.4653040031
332	0.4651080724
333	0.4649078512
334	0.4644770405
335	0.463036823
336	0.4628122782
337	0.4625572127
338	0.4620710739
339	0.4619801143
340	0.4614948787
341	0.4613735866
342	0.4609396891
343	0.4605025054
344	0.460339438
345	0.4602041039
346	0.4594486693
347	0.4591858127
348	0.4587988936
349	0.4586682128
350	0.4579383949
351	0.4572674978
352	0.4571359377
353	0.4556081153
354	0.4551157482
355	0.4546593977
356	0.453177703
357	0.4530126173
358	0.4524240538
359	0.4520833767
360	0.4516961814
361	0.4515111989
362	0.4511139123
363	0.4508948904
364	0.4506808352
365	0.4498251255
366	0.449301491
367	0.4489321927
368	0.4485570085
369	0.4481337734
370	0.4474076285
371	0.4470352915
372	0.4463770601
373	0.4457432079
374	0.4454920699
375	0.4450365375
376	0.4444974776
377	0.4443705654
378	0.4439878738
379	0.4437205902
380	0.4430510609
381	0.4428289939
382	0.4425644824
383	0.4420528079
384	0.4418375928
385	0.4403409997
386	0.4400612516
387	0.4396098825
388	0.4393398457
389	0.4390998874
390	0.4382742221
391	0.4379642156
392	0.4378166524
393	0.4371705344
394	0.4367805292
395	0.4366371506
396	0.4362672188
397	0.436164032
398	0.4359524217
399	0.4356021828
400	0.4354104916
401	0.4352112697
402	0.435183269
403	0.434946061
404	0.4345118498
405	0.4343635834
406	0.434176098
407	0.4337775897
408	0.432379597
409	0.4321905763
410	0.4320088831
411	0.4317235828
412	0.4314001474
413	0.4308834201
414	0.4307385465
415	0.4301415032
416	0.430037701
417	0.4298556492
418	0.4294759934
419	0.4292007848
420	0.4290523455
421	0.4288212342
422	0.4283793689
423	0.4282049683
424	0.4278405006
425	0.4273989551
426	0.4272652154
427	0.4271653114
428	0.4271646538
429	0.4270350799
430	0.4267494441
431	0.4264683208
432	0.4251696211
433	0.4250190084
434	0.4247542444
435	0.4241409654
436	0.4237550116
437	0.4235159862
438	0.4232556857
439	0.4226924033
440	0.4223889608
441	0.4222782306
442	0.4217821402
443	0.421570496
444	0.4213880522
445	0.4211993631
446	0.4209629464
447	0.4208393604
448	0.4206396045
449	0.4203852924
450	0.4201158494
451	0.4195165766
452	0.4187172893
453	0.4183988089
454	0.4181345593
455	0.4177541675
456	0.4177085063
457	0.4174561445
458	0.417131256
459	0.4167745155
460	0.4167093499
461	0.416350709
462	0.4162766972
463	0.4160577387
464	0.4156376633
465	0.4156130708
466	0.415414319
467	0.4152108577
468	0.4138932405
469	0.4136558381
470	0.4133102338
471	0.4130690003
472	0.4128704395
473	0.4127410953
474	0.4125969499
475	0.411313586
476	0.4111164385
477	0.4109683436
478	0.4098583062
479	0.409521598
480	0.4093327618
481	0.4091669202
482	0.4089424921
483	0.4087112192
484	0.4083374625
485	0.4081488228
486	0.4078699076
487	0.4077022264
488	0.4074733991
489	0.4072388994
490	0.4070161291
491	0.406775877
492	0.4063497388
493	0.4061909915
494	0.4055142702
495	0.4051542265
496	0.404706482
497	0.4043168445
498	0.4042741217
499	0.4041034319
500	0.4034284974
501	0.4028444807
502	0.4024102238
503	0.4020949021
504	0.4020445184
505	0.401739344
506	0.4015142311
507	0.4012563689
508	0.401085497
509	0.4009098039
510	0.4007403793
511	0.4001246377
512	0.3998934024
513	0.3997486747
514	0.3996396837
